"","age","group","m_correct","se","upper","lower"
"1","Adult","Dys",15.3076923076923,0.286996278556579,15.8702050136632,14.7451796017214
"2","Adult","Typ",15.5862068965517,0.175586570646518,15.9303565750189,15.2420572180845
"3","Child","Dys",12.8846153846154,0.500236630396588,13.8650791801927,11.9041515890381
"4","Child","Typ",14.4838709677419,0.349718681849097,15.1693195841662,13.7984223513177
