"","cond","com_cond","group","m_correct","se","upper","lower"
"1","No-standard","Dys - Adult","Dys",0.667146974063401,0.0126531537274794,0.69194715536926,0.642346792757541
"2","No-standard","Dys - Child","Dys",0.545454545454545,0.0182182912740046,0.581162396351594,0.509746694557496
"3","No-standard","Typ - Adult","Typ",0.699417758369723,0.0123741312538514,0.723671055627272,0.675164461112175
"4","No-standard","Typ - Child","Typ",0.615044247787611,0.0132187058851265,0.640952911322459,0.589135584252763
"5","Standard","Dys - Adult","Dys",0.764,0.0101533130346863,0.783900493547985,0.744099506452015
"6","Standard","Dys - Child","Dys",0.608342989571263,0.0166254562804215,0.640928883880889,0.575757095261637
"7","Standard","Typ - Adult","Typ",0.803084223013049,0.00968770378395641,0.822072122429603,0.784096323596494
"8","Standard","Typ - Child","Typ",0.706995412844037,0.0109017649531804,0.72836287215227,0.685627953535803
