"","Subject","trialNum","adaptor","exposureLength","response","soundfile","keyResp","keyRT","Time"
"58","ABCD_1701",7,"b",70,"d","a_bd16_CV.wav","m",0.71161699295,484.229827881
"59","ABCD_1701",7,"b",70,"b","a_bd10_CV.wav","z",0.663665056229,485.093837976
"60","ABCD_1701",7,"b",70,"d","a_bd08_CV.wav","m",0.93567109108,486.229851007
"61","ABCD_1701",7,"b",70,"d","a_bd14_CV.wav","m",0.655622959137,487.085808992
"62","ABCD_1701",7,"b",70,"b","a_bd06_CV.wav","z",0.591675043106,487.877827883
"63","ABCD_1701",7,"b",70,"d","a_bd12_CV.wav","m",0.63157916069,488.709756851
"64","ABCD_1701",8,"d",70,"b","a_bd02_CV.wav","z",0.710866928101,529.013332844
"65","ABCD_1701",8,"d",70,"b","a_bd08_CV.wav","z",0.58376288414,529.797449827
"66","ABCD_1701",8,"d",70,"d","a_bd06_CV.wav","m",1.07943201065,531.077214956
"67","ABCD_1701",8,"d",70,"b","a_bd16_CV.wav","z",1.34365320206,532.621186018
"68","ABCD_1701",8,"d",70,"d","a_bd04_CV.wav","m",0.655699014664,533.477224827
"69","ABCD_1701",8,"d",70,"d","a_bd12_CV.wav","m",0.735523939133,534.413101912
"70","ABCD_1701",8,"d",70,"b","a_bd10_CV.wav","z",0.704005002975,535.317446947
"71","ABCD_1701",8,"d",70,"d","a_bd18_CV.wav","m",0.57559800148,536.093400002
"72","ABCD_1701",8,"d",70,"b","a_bd14_CV.wav","z",0.759479045868,537.053236961
"73","ABCD_1702",1,"b",70,"d","a_bd18_CV.wav","m",1.05536007881,186.61102891
"74","ABCD_1702",1,"b",70,"d","a_bd12_CV.wav","m",0.615815162659,187.427206039
"75","ABCD_1702",1,"b",70,"b","a_bd02_CV.wav","z",0.607434988022,188.234982014
"76","ABCD_1702",1,"b",70,"b","a_bd06_CV.wav","z",0.799305915833,189.234639883
"77","ABCD_1702",1,"b",70,"d","a_bd14_CV.wav","m",0.551619052887,189.986582041
"78","ABCD_1702",1,"b",70,"b","a_bd08_CV.wav","z",2.07945203781,192.266376972
"79","ABCD_1702",1,"b",70,"d","a_bd10_CV.wav","m",1.41553497314,193.882247925
"80","ABCD_1702",1,"b",70,"b","a_bd04_CV.wav","z",0.655569791794,194.738170862
"81","ABCD_1702",1,"b",70,"d","a_bd16_CV.wav","m",0.967514038086,195.906041861
"82","ABCD_1702",2,"d",70,"b","a_bd02_CV.wav","z",1.12690711021,236.28478384
