"","PartID","NS","S","m_fd","se","ntd","b","d","mean_diff","diff_8"
"1","ABCD_1701",NA,NA,NA,NA,NA,0.0229092794642119,0.0116056819016428,0.194444444444444,-0.25
"2","ABCD_1702",20.5996981776986,13.3204818619699,48.914303878055,7.99083568018703,-0.214598398570287,0.0330885223696458,0.0347621062592119,0.166666666666667,0.5
"3","ABCD_1703",19.7244423314189,9.30132956731048,70.7112474523026,10.7475466382241,-0.359098555603434,0.0263289387223491,0.0280287236002435,0.111111111111111,0.75
"4","ABCD_1704",NA,NA,NA,NA,NA,0.0314084642516241,0.0347621062592119,0.138888888888889,0
"5","ABCD_1705",33.9267578125,17.3277679870126,69.1972074118183,9.34633952525861,-0.323854129300035,0.0305659916656038,0.0322493057183553,0.25,0.75
"6","ABCD_1706",NA,NA,NA,NA,NA,0.0347621062592119,0.0322493057183553,0.194444444444444,0
"7","ABCD_1708",20.9611147925933,11.3880600531888,58.2291838503237,8.30111198128025,-0.295928869439236,0.0305659916656038,0.0330885223696458,0.25,0.75
"8","ABCD_1709",16.6741452898424,9.1559069417425,53.1998044460572,8.07932608749298,-0.291065549565812,0.0288761277362291,0.0339261204728706,0.222222222222222,0.75
"9","ABCD_1710",29.3408203125,14.8781480789065,67.6370531825658,9.18610565133308,-0.327069417485646,0.0237667219577487,0.0347621062592119,0.305555555555556,1
"10","ABCD_1711",NA,NA,NA,NA,NA,0.0339261204728706,0.0347621062592119,0.0555555555555556,0
"11","ABCD_1713",NA,NA,NA,NA,NA,0.0297218816196885,0.0347621062592119,0.194444444444444,0.75
"12","ABCD_1714",62.7213541666667,18.4527003765146,92.4893447606237,11.4092269652628,-0.545354720043003,0.00910503960476178,0.0243395552749257,0.111111111111111,0.25
"13","ABCD_1715",43.7449048913044,7.51437207926304,82.8510501281071,11.0537271342221,-0.706809283182916,0.0237667219577487,0.0322493057183553,0.25,0.75
"14","ABCD_1716",14.8369793097206,7.96373544136133,55.2351434592702,9.41982875899554,-0.301448614369999,0.0314084642516241,0.0339261204728706,0.111111111111111,0.25
"15","ABCD_1717",31.6744791666667,16.3635488656808,83.9982471651233,10.4367105527217,-0.318725204345939,0.024622474908332,0.0339261204728706,0.333333333333333,1
"16","ABCD_1718",19.1387939452914,8.62258084442304,64.234427227527,9.81972158940712,-0.378807360245164,0.0297218816196885,0.0314084642516241,0.138888888888889,0.25
"17","ABCD_1719",NA,NA,NA,NA,NA,0.0314084642516241,0.0347621062592119,0.194444444444444,1
"18","ABCD_1720",22.4694530780458,8.57973314101194,74.6466615200047,9.80966723838277,-0.447345699788694,0.0280287236002435,0.0339261204728706,0.305555555555556,1
"19","ABCD_1721",25.3485276963883,8.94258996615923,63.7916174554285,10.1240755360493,-0.478431117109592,0.0254765449611716,0.0297218816196885,0.166666666666667,1
"20","ABCD_1722",76.3760653409091,39.8185221354167,109.9267578125,12.4912292990734,-0.314623460519974,0.024622474908332,0.024622474908332,0.0277777777777778,0.5
"21","ABCD_1723",22.4496968587262,9.13346238434188,72.2373460682605,10.8760749072273,-0.42162452375017,0.0288761277362291,0.0288761277362291,0.25,0.75
"22","ABCD_1724",44.1111338706619,8.45453549178,54.7723016036468,8.01518416214074,-0.678324823242116,0.0305659916656038,0.0339261204728706,0.138888888888889,0.5
"23","ABCD_1725",NA,NA,NA,NA,NA,0.0297218816196885,0.0280287236002435,0.305555555555556,1
"24","ABCD_1726",42.0250355113636,12.8418125425076,71.9276375855702,10.008190749201,-0.531891734334772,0.0322493057183553,0.0347621062592119,0.111111111111111,0.75
